Unit,Latitude_WGS84,Longitude_WGS84,Authorship,Area_Toponym,Dom_Veg_Height,Percent_Vis,Farm,Soil,Background_Dist,Sherd_Crusting,Surf_Clast_Size,Quantity,Bone_Shell,Glass,Metal,Other,Pottery,Stone_Lithics,Terra_Cotta,Prehistoric,Class_Hellen,Roman,Late_Roman,Medieval
Unit 163,34.98177951,33.71125959,William R. Caraher,Paleokastro,None,80,Plowed,Loose,Light,Light,Sand (<5mm),4,0,1,0,0,3,0,0,0,0,0,2,0
Unit 164,34.98214018,33.71126268,William R. Caraher,Paleokastro,None,70,Plowed,Loose,None,None,Sand (<5mm),10,0,0,0,0,10,0,0,0,0,0,6,0
Unit 165,34.98250339,33.71082754,William R. Caraher,Paleokastro,None,80,Plowed,Loose,None,None,Sand (<5mm),3,0,0,0,0,3,0,0,0,0,0,2,0
Unit 166,34.98286406,33.71083063,William R. Caraher,Paleokastro,None,80,Plowed,Loose,None,Light,Sand (<5mm),15,0,2,0,0,13,0,0,0,0,0,1,0
Unit 167,34.98322473,33.71083371,William R. Caraher,Paleokastro,<= ankle,10,Unplowed,Compacted,None,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 168,34.9835854,33.7108368,William R. Caraher,Water Plant,<= ankle,50,Plowed,Loose,None,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 169,34.98358794,33.71039857,William R. Caraher,Water Plant,<= ankle,80,Plowed,Loose,Light,Light,Coarse Gravel (75-19mm),2,0,0,0,0,2,0,0,0,0,1,1,0
Unit 170,34.98359048,33.70996035,William R. Caraher,Water Plant,<= knee,50,,,,,,4,0,0,0,0,4,0,0,0,0,0,3,0
Unit 171,34.98609738,33.7130496,William R. Caraher,Kokkinokremos Plain,None,90,Plowed,Loose,Moderate,Light,Coarse Gravel (75-19mm),14,0,0,0,0,14,0,0,0,0,1,5,0
Unit 172,34.98573671,33.71304651,William R. Caraher,Kokkinokremos Plain,<= ankle,40,Plowed,Compacted,Light,Light,Fine Gravel (19-5mm),17,0,0,0,0,17,0,0,0,0,0,7,0
Unit 173,34.98573925,33.71260827,William R. Caraher,Water Plant,<= ankle,70,Plowed,Compacted,Light,Light,Coarse Gravel (75-19mm),11,0,0,0,0,11,0,0,3,0,0,1,0
Unit 174,34.9857418,33.71217003,William R. Caraher,Water Plant,<= ankle,70,Plowed,Loose,Light,Light,Coarse Gravel (75-19mm),22,0,0,0,0,22,0,0,0,2,1,8,0
Unit 175,34.98573416,33.71348475,William R. Caraher,Kokkinokremos Plain,<= ankle,40,Plowed,Compacted,Light,Light,Coarse Gravel (75-19mm),15,0,0,0,0,15,0,0,0,0,2,6,1
Unit 179,34.9846496,33.71391369,William R. Caraher,Water Plant,<= ankle,40,Plowed,Compacted,Light,Light,Coarse Gravel (75-19mm),33,0,1,0,0,30,0,0,0,0,1,11,1
Unit 181,34.98537858,33.71260518,William R. Caraher,Water Plant,<= ankle,40,Plowed,Compacted,Light,Light,Fine Gravel (19-5mm),37,0,0,0,0,37,0,0,0,0,3,11,1
Unit 182,34.98538113,33.71216694,William R. Caraher,Water Plant,None,90,Plowed,Loose,Moderate,Light,Coarse Gravel (75-19mm),38,0,0,0,0,36,2,0,0,0,2,11,0
Unit 183,34.98538367,33.7117287,William R. Caraher,Water Plant,<= ankle,70,Plowed,Loose,Light,Light,Coarse Gravel (75-19mm),84,0,0,0,0,84,0,0,0,4,10,12,0
Unit 184,34.98538622,33.71129047,William R. Caraher,Water Plant,<= knee,60,Plowed,Loose,Light,Light,Coarse Gravel (75-19mm),17,0,0,0,0,17,0,0,0,0,4,3,0
Unit 185,34.98502554,33.71128738,William R. Caraher,Water Plant,None,90,Plowed,Loose,Light,Light,Coarse Gravel (75-19mm),37,0,0,0,0,37,0,0,0,2,0,10,2
Unit 186,34.98537604,33.71304341,William R. Caraher,Water Plant,<= ankle,40,Plowed,Compacted,Light,Light,Coarse Gravel (75-19mm),26,0,0,0,0,23,0,0,0,0,2,8,0
Unit 187,34.9868034,33.71568526,David K. Pettegrew,Kokkinokremos Plain,None,100,Plowed,Loose,Moderate,Heavy,Fine Gravel (19-5mm),61,0,1,0,0,58,2,0,1,1,0,29,0
Unit 188,34.98680085,33.7161235,David K. Pettegrew,Kokkinokremos Plain,None,100,Plowed,Loose,Moderate,Heavy,Fine Gravel (19-5mm),92,0,0,0,0,87,4,1,0,5,9,35,0
Unit 189,34.98679829,33.71656175,David K. Pettegrew,Kokkinokremos Plain,None,100,Plowed,Loose,Moderate,Heavy,Fine Gravel (19-5mm),86,0,0,0,0,81,3,0,0,0,9,37,2
Unit 190,34.98679572,33.71699999,David K. Pettegrew,Kokkinokremos Plain,None,100,Plowed,Loose,Heavy,Heavy,Fine Gravel (19-5mm),69,0,0,0,2,67,0,0,0,0,7,22,0
Unit 191,34.98679316,33.71743824,David K. Pettegrew,Kokkinokremos Plain,None,100,Plowed,Loose,Heavy,Heavy,Fine Gravel (19-5mm),10,0,0,0,0,9,1,0,0,0,2,2,0
Unit 192,34.98716919,33.71481188,William R. Caraher,Kokkinokremos Plain,<= ankle,50,Unplowed,Compacted,Light,Light,Fine Gravel (19-5mm),2,0,0,0,0,2,0,0,0,0,1,0,0
Unit 193,34.98716663,33.71525012,William R. Caraher,Kokkinokremos Plain,<= ankle,40,Unplowed,Compacted,Moderate,None,Fine Gravel (19-5mm),1,0,0,0,0,1,0,0,0,0,0,0,0
Unit 194,34.98716407,33.71568837,William R. Caraher,Kokkinokremos Plain,<= ankle,20,Unplowed,Compacted,Light,None,Fine Gravel (19-5mm),6,0,0,0,1,5,0,0,0,0,0,2,0
Unit 195,34.98716152,33.71612661,William R. Caraher,Kokkinokremos Plain,<= ankle,60,Plowed,Loose,Light,Light,Sand (<5mm),19,0,0,0,0,18,1,0,0,1,1,3,0
Unit 196,34.98715896,33.71656486,William R. Caraher,Kokkinokremos Plain,,100,Plowed,Loose,Light,Light,Sand (<5mm),39,0,1,0,0,38,0,0,0,1,6,15,0
Unit 197,34.98715639,33.7170031,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,None,None,Fine Gravel (19-5mm),44,0,0,0,0,42,2,0,0,0,7,19,0
Unit 198,34.98715383,33.71744135,William R. Caraher,Kokkinokremos Plain,<= ankle,100,Plowed,Loose,Light,Light,Fine Gravel (19-5mm),42,0,0,0,0,41,1,0,0,0,0,21,0
Unit 199,34.98715127,33.7178796,William R. Caraher,Kokkinokremos Plain,<= ankle,100,Plowed,Loose,Light,Light,Fine Gravel (19-5mm),18,0,0,0,0,18,0,0,0,0,0,10,0
Unit 200,34.9871487,33.71831784,William R. Caraher,Kokkinokremos Plain,<= ankle,100,Plowed,Loose,Light,Light,Fine Gravel (19-5mm),8,0,0,0,0,8,0,0,0,0,0,4,1
Unit 201,34.98750937,33.71832096,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Light,Fine Gravel (19-5mm),8,0,0,0,0,7,0,0,0,1,0,2,0
Unit 202,34.98751194,33.71788271,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Light,Fine Gravel (19-5mm),23,0,2,0,0,21,0,0,0,0,0,11,0
Unit 203,34.9875145,33.71744447,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,None,Light,Fine Gravel (19-5mm),58,0,1,0,0,57,0,0,0,2,7,30,0
Unit 204,34.98751706,33.71700622,William R. Caraher,Kokkinokremos Plain,None,90,Plowed,Loose,Light,Light,Fine Gravel (19-5mm),46,0,1,0,0,43,2,0,0,2,6,14,0
Unit 205,34.98751963,33.71656797,William R. Caraher,Kokkinokremos Plain,<= ankle,50,Plowed,Loose,Light,Light,Fine Gravel (19-5mm),10,0,0,0,0,10,0,0,0,1,0,5,0
Unit 206,34.98752219,33.71612972,William R. Caraher,Kokkinokremos Plain,<= ankle,10,Unplowed,Compacted,Light,Light,,0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 207,34.98787517,33.71744758,William R. Caraher,Kokkinokremos Plain,None,80,Plowed,Loose,Light,Light,Fine Gravel (19-5mm),15,0,0,0,0,15,0,0,0,0,3,6,0
Unit 208,34.98787261,33.71788583,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Light,Sand (<5mm),27,0,0,0,1,26,0,0,0,0,1,14,1
Unit 209,34.98787004,33.71832408,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Light,Sand (<5mm),20,1,2,0,0,17,0,0,0,0,0,11,1
Unit 210,34.98823328,33.71788895,William R. Caraher,Kokkinokremos Plain,None,80,Plowed,Loose,Light,Light,Sand (<5mm),16,0,1,0,0,13,2,0,0,0,0,8,0
Unit 211,34.98678803,33.71831472,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Light,Fine Gravel (19-5mm),2,0,0,0,0,2,0,0,0,0,0,0,0
Unit 212,34.9867906,33.71787648,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Light,Coarse Gravel (75-19mm),4,0,0,0,0,4,0,0,0,0,0,2,0
Unit 213,34.98570602,33.71830537,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,None,Coarse Gravel (75-19mm),7,0,0,0,1,6,0,0,0,0,1,2,0
