Unit,Latitude_WGS84,Longitude_WGS84,Authorship,Area_Toponym,Dom_Veg_Height,Percent_Vis,Farm,Soil,Background_Dist,Sherd_Crusting,Surf_Clast_Size,Quantity,Bone_Shell,Glass,Metal,Other,Pottery,Stone_Lithics,Terra_Cotta,Prehistoric,Class_Hellen,Roman,Late_Roman,Medieval
Unit 519,34.98404075,33.71572967,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Coarse Gravel (75-19mm),2,0,0,0,0,2,0,0,0,0,0,2,0
Unit 520,34.98338365,33.71488138,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,None,Fine Gravel (19-5mm),5,1,1,0,0,3,0,0,0,0,0,1,0
Unit 521,34.98280443,33.71423414,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 522,34.98232457,33.713543,David K. Pettegrew,Dhekeleia,<= knee,80,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),2,1,0,0,0,1,0,0,0,0,0,0,0
Unit 523,34.98196976,33.7122116,David K. Pettegrew,Dhekeleia,<= knee,60,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),1,0,1,0,0,0,0,0,0,0,0,0,0
Unit 524,34.9823716,33.71215992,David K. Pettegrew,Dhekeleia,<= knee,40,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),4,0,0,0,0,4,0,0,0,0,0,1,0
Unit 525,34.98265797,33.71319714,David K. Pettegrew,Dhekeleia,<= knee,50,Plowed,Loose,Light,None,Fine Gravel (19-5mm),2,0,0,0,0,2,0,0,0,0,0,1,0
Unit 526,34.98312449,33.71389102,David K. Pettegrew,Dhekeleia,None,100,Plowed,Loose,None,None,Fine Gravel (19-5mm),2,1,0,0,0,1,0,0,0,0,1,0,0
Unit 527,34.98372144,33.71454643,David K. Pettegrew,Dhekeleia,None,100,Plowed,Loose,Light,Light,Fine Gravel (19-5mm),7,0,1,0,0,6,0,0,0,0,0,1,0
Unit 528,34.9843304,33.71532389,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Sand (<5mm),1,0,0,0,0,1,0,0,1,0,0,0,0
Unit 529,34.98502342,33.71645519,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Sand (<5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 530,34.9848273,33.71527477,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Sand (<5mm),1,0,0,0,0,1,0,0,0,0,0,0,0
Unit 531,34.98414734,33.71435245,David K. Pettegrew,Dhekeleia,<= ankle,70,Plowed,Loose,Light,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 532,34.98357582,33.71371387,David K. Pettegrew,Dhekeleia,<= knee,50,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 533,34.98311894,33.71300184,David K. Pettegrew,Dhekeleia,<= knee,50,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 534,34.98279499,33.71204259,David K. Pettegrew,Dhekeleia,<= knee,70,Plowed,Compacted,Light,None,,0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 535,34.98321629,33.71192602,David K. Pettegrew,Dhekeleia,<= knee,50,Plowed,Compacted,Moderate,None,Sand (<5mm),1,0,0,0,0,1,0,0,0,0,0,1,0
Unit 536,34.98351931,33.71281554,David K. Pettegrew,Dhekeleia,<= knee,70,Plowed,Loose,Light,None,Sand (<5mm),2,0,0,0,0,2,0,0,0,0,0,1,0
Unit 537,34.98179202,33.70274099,David K. Pettegrew,West Pyla,<= ankle,40,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),21,1,0,1,0,18,1,0,0,1,1,6,0
Unit 538,34.98225334,33.70274975,David K. Pettegrew,West Pyla,<= ankle,60,Plowed,Compacted,Moderate,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 539,34.98268669,33.7026943,David K. Pettegrew,West Pyla,<= ankle,40,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),23,0,1,0,0,22,0,0,0,2,1,5,0
Unit 540,34.98300974,33.70255427,David K. Pettegrew,West Pyla,<= knee,70,Plowed,Compacted,Light,None,Coarse Gravel (75-19mm),15,0,0,0,0,15,0,0,0,0,0,1,0
Unit 541,34.98257389,33.701473,David K. Pettegrew,West Pyla,<= ankle,80,Plowed,Compacted,Light,Light,Fine Gravel (19-5mm),60,1,0,0,0,59,0,0,0,0,3,9,0
Unit 542,34.98223849,33.70138956,David K. Pettegrew,West Pyla,<= knee,70,Plowed,Compacted,Moderate,Light,Coarse Gravel (75-19mm),47,0,0,0,0,46,1,0,0,2,7,10,0
Unit 543,34.98197909,33.7014392,David K. Pettegrew,West Pyla,<= knee,80,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),5,0,0,0,0,5,0,0,0,0,0,3,0
Unit 544,34.98127837,33.7012842,David K. Pettegrew,West Pyla,<= knee,80,Plowed,Compacted,Light,Light,Coarse Gravel (75-19mm),44,0,0,0,0,44,0,0,0,1,6,10,0
Unit 545,34.98020182,33.70107138,David K. Pettegrew,West Pyla,<= knee,60,Plowed,Compacted,Light,Light,Coarse Gravel (75-19mm),3,0,0,0,0,3,0,0,0,1,1,1,0
Unit 546,34.98076417,33.70071766,David K. Pettegrew,West Pyla,<= ankle,80,Plowed,Compacted,Moderate,Light,Coarse Gravel (75-19mm),167,0,1,0,0,164,0,0,0,4,10,35,1
Unit 547,34.98360105,33.71192906,David K. Pettegrew,Water Plant,<= knee,50,Plowed,Compacted,Light,None,Sand (<5mm),11,0,0,0,0,11,0,0,0,0,0,0,0
Unit 549,34.98429464,33.71396776,David K. Pettegrew,Kokkinokremos Plain,<= knee,70,Plowed,Loose,Light,Light,Sand (<5mm),10,0,0,0,0,10,0,0,0,0,0,9,0
Unit 1005,34.98556011,33.70662749,William R. Caraher,Vigla North,<= ankle,90,Plowed,Loose,Moderate,None,Coarse Gravel (75-19mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 1006,34.9861062,33.70657404,William R. Caraher,Vigla North,<= ankle,90,Plowed,Loose,Moderate,None,Coarse Gravel (75-19mm),93,0,0,0,0,92,1,0,8,10,30,2,0
Unit 1007,34.98619472,33.70744038,William R. Caraher,Vigla North,<= ankle,90,Plowed,Loose,Moderate,None,Coarse Gravel (75-19mm),59,0,0,0,0,59,0,0,7,5,17,1,0
Unit 1008,34.98628898,33.70831318,William R. Caraher,Vigla North,<= ankle,90,Plowed,Loose,Moderate,None,Cobble (300-75mm),71,0,0,0,2,69,0,0,18,3,3,8,0
Unit 1009,34.98638618,33.70918423,William R. Caraher,Vigla North,<= ankle,90,Plowed,Loose,Moderate,None,Boulder (>300mm),198,0,1,0,0,197,0,0,21,8,40,22,0
Unit 1010,34.98605953,33.70913314,William R. Caraher,Vigla North,<= ankle,90,Plowed,Loose,Moderate,None,Boulder (>300mm),87,0,0,0,0,86,1,0,11,10,18,4,0
Unit 1011,34.98601563,33.70849358,William R. Caraher,Vigla North,<= ankle,90,Plowed,Loose,Moderate,None,Cobble (300-75mm),70,0,0,0,0,70,0,0,8,7,11,1,0
Unit 1012,34.98720199,33.70677732,Dimitri Nakassis,Vigla,<= ankle,50,Plowed,Compacted,Light,None,Cobble (300-75mm),128,0,0,0,0,128,0,0,24,6,13,6,1
Unit 1013,34.98731736,33.70764943,Dimitri Nakassis,Vigla,<= ankle,40,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),119,0,0,0,0,119,0,0,17,15,17,2,0
Unit 1014,34.98742865,33.70851493,Dimitri Nakassis,Vigla,<= ankle,30,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),65,0,0,0,0,65,0,0,9,0,10,4,0
Unit 1015,34.98751275,33.70916218,Dimitri Nakassis,Vigla,<= ankle,30,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),39,0,0,0,0,38,1,0,1,0,12,1,0
Unit 1016,34.9878752,33.70910894,Dimitri Nakassis,Vigla,<= ankle,40,,,,,,24,0,0,0,0,24,0,0,5,0,2,3,0
Unit 1017,34.98779052,33.70846115,Dimitri Nakassis,Vigla,<= knee,30,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),32,0,0,0,0,32,0,0,2,1,5,2,0
Unit 1018,34.9876775,33.70759855,Dimitri Nakassis,Vigla,<= ankle,40,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),44,0,0,0,0,44,0,0,0,2,5,4,0
Unit 1019,34.98756711,33.70673421,Dimitri Nakassis,Vigla,<= ankle,40,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),50,0,0,0,0,50,0,0,0,3,11,9,0
Unit 1020,34.98804153,33.70754209,Dimitri Nakassis,Vigla,<= knee,50,Plowed,Compacted,Light,None,Coarse Gravel (75-19mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 1021,34.98815756,33.70840057,Dimitri Nakassis,Vigla,<= knee,50,Plowed,Compacted,Light,None,Coarse Gravel (75-19mm),47,0,0,0,0,47,0,0,14,2,5,3,0
Unit 1022,34.98852008,33.70834748,Dimitri Nakassis,Vigla,<= ankle,40,Plowed,Compacted,Light,None,Coarse Gravel (75-19mm),35,0,0,0,0,35,0,0,0,6,4,4,0
Unit 1023,34.98840233,33.70749024,Dimitri Nakassis,Vigla,<= knee,50,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),55,0,0,0,0,55,0,0,4,3,8,2,0
Unit 1024,34.98875954,33.70744391,Dimitri Nakassis,Vigla,<= ankle,70,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),53,0,0,0,0,53,0,0,4,3,10,1,0
Unit 1025,34.98887546,33.70830327,Dimitri Nakassis,Vigla,<= ankle,70,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),52,0,0,0,0,52,0,0,0,0,12,6,0
Unit 1026,34.98923473,33.70825604,Dimitri Nakassis,Vigla,<= ankle,60,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),37,0,0,0,0,36,0,0,8,0,8,1,0
Unit 1027,34.98911645,33.70739324,Dimitri Nakassis,Vigla,<= knee,60,Plowed,Compacted,Light,None,Cobble (300-75mm),60,0,1,0,0,59,0,0,1,0,8,25,0
Unit 1028,34.98951382,33.70756085,Dimitri Nakassis,Vigla,<= knee,30,Plowed,Compacted,Light,None,Cobble (300-75mm),20,0,0,0,0,20,0,0,0,1,2,3,0
Unit 1029,34.98959459,33.70821325,William R. Caraher,Vigla,<= knee,50,Plowed,Compacted,,None,Cobble (300-75mm),46,0,0,0,0,46,0,0,0,2,6,19,0
Unit 1030,34.98988338,33.70751319,William R. Caraher,Vigla,<= knee,50,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),52,0,0,0,0,52,0,0,0,1,15,19,0
Unit 1031,34.98995647,33.70816721,William R. Caraher,Vigla,<= knee,40,Plowed,Compacted,Moderate,None,Cobble (300-75mm),17,0,0,0,0,17,0,0,0,0,1,4,0
Unit 1032,34.99025268,33.70745887,William R. Caraher,Vigla,<= knee,40,Plowed,Compacted,Moderate,None,Cobble (300-75mm),10,0,0,0,0,10,0,0,0,0,1,9,0
Unit 1033,34.99031572,33.70810956,William R. Caraher,Vigla,<= knee,30,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),38,0,0,0,0,38,0,0,1,0,13,18,0
Unit 1034,34.99041309,33.70880604,William R. Caraher,Vigla,<= knee,30,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),13,0,0,0,0,13,0,0,0,1,0,12,0
Unit 1035,34.9907566,33.70876851,William R. Caraher,Vigla,<= knee,,Plowed,Compacted,Moderate,None,Cobble (300-75mm),14,0,0,0,0,14,0,0,0,0,0,9,0
Unit 1036,34.99067929,33.70811319,William R. Caraher,Vigla,<= knee,30,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),23,0,0,0,0,23,0,0,0,0,5,16,0
Unit 1037,34.99064881,33.70745822,William R. Caraher,Vigla,<= knee,30,Plowed,Compacted,Moderate,None,Cobble (300-75mm),11,0,0,0,0,11,0,0,0,0,0,10,0
Unit 1038,34.9910249,33.70747562,William R. Caraher,Vigla,<= knee,30,Plowed,Compacted,Moderate,None,Cobble (300-75mm),25,0,0,0,0,25,0,0,0,0,1,15,0
Unit 1039,34.99106045,33.70809696,William R. Caraher,Vigla,<= knee,30,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),23,0,1,0,0,22,0,0,0,0,9,8,0
Unit 1040,34.991431,33.70802655,William R. Caraher,Vigla,<= knee,30,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),15,0,0,0,0,15,0,0,0,0,6,4,0
Unit 1041,34.99138321,33.70740446,William R. Caraher,Vigla,,,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),24,0,0,0,0,24,0,0,0,1,1,9,0
Unit 1042,34.99174912,33.70731133,William R. Caraher,Vigla,<= ankle,50,Plowed,Compacted,Moderate,None,Cobble (300-75mm),21,0,0,0,0,21,0,0,0,0,2,10,0
Unit 1043,34.99178208,33.70795316,William R. Caraher,Vigla,<= knee,,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),30,0,0,0,0,30,0,0,0,0,4,7,0
Unit 1044,34.99214666,33.70791814,William R. Caraher,Vigla,<= knee,20,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),34,0,0,0,0,34,0,0,0,0,4,4,0
Unit 1045,34.99211577,33.70725346,William R. Caraher,Vigla,,,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),28,0,1,0,0,27,0,0,0,0,3,5,0
Unit 1046,34.9924467,33.70697127,William R. Caraher,Vigla,<= knee,40,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),62,0,0,0,0,62,0,0,0,0,16,10,0
Unit 1047,34.99249584,33.70787565,William R. Caraher,Vigla,<= knee,40,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),23,0,1,1,0,21,0,0,0,1,2,4,0
Unit 1048,34.99279357,33.70692875,Brandon Olson,Vigla,<= knee,40,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),50,0,0,0,0,50,0,0,0,0,23,5,0
Unit 1049,34.99283994,33.70781375,Brandon Olson,Vigla,<= knee,40,Unplowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),44,0,0,0,0,44,0,0,0,2,4,11,0
Unit 1050,34.99288918,33.70848111,Brandon Olson,Vigla,<= knee,50,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),24,0,0,0,0,24,0,0,0,1,5,2,0
Unit 1051,34.99315495,33.70687119,Brandon Olson,Vigla,<= knee,60,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),74,0,0,0,0,74,0,0,0,4,3,12,0
Unit 1052,34.99320304,33.70777022,Brandon Olson,Vigla,<= knee,50,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),56,0,0,0,0,56,0,0,0,3,4,3,0
Unit 1053,34.99324461,33.70844772,Brandon Olson,Vigla,<= knee,50,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),24,0,0,0,0,24,0,0,0,0,1,5,0
Unit 1054,34.99351706,33.70682092,Brandon Olson,Vigla,<= knee,40,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),53,0,0,0,0,53,0,0,0,0,0,10,0
Unit 1055,34.99356243,33.70771877,Brandon Olson,Vigla,<= knee,30,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),37,0,0,0,0,37,0,0,0,0,1,8,0
Unit 1056,34.99361232,33.70862491,Brandon Olson,Vigla,<= waist,30,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),50,0,0,0,0,50,0,0,0,2,4,11,0
Unit 1057,34.99387094,33.70677485,Brandon Olson,Vigla,<= ankle,50,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),57,0,1,0,0,56,0,0,0,0,4,19,0
Unit 1058,34.99392115,33.70767852,Brandon Olson,Vigla,<= waist,30,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),31,0,0,0,0,31,0,0,0,0,2,7,0
Unit 1059,34.99396174,33.70858077,Brandon Olson,Vigla,<= waist,20,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),26,0,0,0,0,26,0,0,0,0,7,4,0
Unit 1060,34.99401298,33.70944669,Brandon Olson,Vigla,<= knee,30,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),48,0,0,0,0,48,0,0,0,0,5,12,0
Unit 1061,34.99405184,33.71010178,Brandon Olson,Vigla,<= knee,40,Plowed,Compacted,Moderate,None,Cobble (300-75mm),24,0,0,0,0,24,0,0,0,0,0,0,0
Unit 1062,34.994218,33.70673236,Brandon Olson,Vigla,<= knee,50,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),36,0,0,0,0,36,0,0,0,0,3,7,0
Unit 1063,34.99427324,33.70765053,Brandon Olson,Vigla,<= waist,30,Unplowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),58,0,0,0,0,58,0,0,1,1,2,8,0
Unit 1064,34.99432095,33.70853659,Brandon Olson,Vigla,<= waist,30,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),47,0,0,0,0,47,0,0,0,1,5,15,0
Unit 1065,34.99435503,33.70937531,Brandon Olson,Vigla,<= ankle,60,Unplowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),67,0,0,0,0,67,0,0,0,0,0,10,0
Unit 1066,34.99454514,33.70668719,Brandon Olson,Vigla,<= knee,50,Unplowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),38,0,0,0,0,38,0,0,0,0,0,0,0
Unit 1067,34.99459963,33.7076139,Brandon Olson,Vigla,<= ankle,60,Unplowed,Compacted,Light,None,Cobble (300-75mm),13,0,0,0,0,13,0,0,0,0,2,0,0
Unit 1300,34.98977368,33.71406268,William R. Caraher,Kokkinokremos,<= ankle,70,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),100,0,0,0,1,90,9,0,2,59,1,0,0
Unit 1301,34.98967051,33.71466548,William R. Caraher,Kokkinokremos,<= knee,70,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),34,0,0,0,1,28,5,0,3,18,1,0,0
Unit 1302,34.98959899,33.71513494,William R. Caraher,Kokkinokremos,<= ankle,70,Unplowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),41,0,0,0,1,38,1,0,3,26,3,0,0
Unit 1303,34.98941358,33.7154537,William R. Caraher,Kokkinokremos,<= ankle,70,Unplowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),70,0,0,0,1,64,5,0,10,35,1,3,0
Unit 1304,34.98912998,33.71574338,William R. Caraher,Kokkinokremos,<= knee,80,Unplowed,Compacted,Heavy,None,Coarse Gravel (75-19mm),78,0,0,0,0,73,5,0,4,47,2,5,0
Unit 1305,34.98878462,33.71595727,William R. Caraher,Kokkinokremos,<= knee,80,Unplowed,Compacted,Heavy,None,Coarse Gravel (75-19mm),83,0,0,0,0,75,6,0,6,46,2,4,0
Unit 1306,34.98843427,33.71612024,William R. Caraher,Kokkinokremos,<= knee,80,Unplowed,Compacted,Heavy,None,Cobble (300-75mm),59,0,0,0,0,55,4,0,1,28,2,0,0
Unit 1307,34.98833161,33.71661135,William R. Caraher,Kokkinokremos,<= knee,80,Unplowed,Compacted,Heavy,None,Cobble (300-75mm),46,0,0,0,1,45,0,0,4,30,1,4,0
Unit 1308,34.9889118,33.7167937,William R. Caraher,Kokkinokremos,<= knee,80,Unplowed,Compacted,Heavy,None,Cobble (300-75mm),97,0,0,0,1,95,1,0,3,79,0,4,0
Unit 1309,34.98944932,33.71640569,William R. Caraher,Kokkinokremos,<= knee,80,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),41,1,0,0,0,35,5,0,1,26,1,1,0
Unit 1310,34.98990134,33.71584505,William R. Caraher,Kokkinokremos,<= knee,50,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),37,0,0,0,0,37,0,0,3,30,0,1,0
Unit 1311,34.98878918,33.71646046,Dimitri Nakassis,Kokkinokremos,,,,,,,,85,0,0,0,0,81,4,0,19,55,1,1,0
Unit 1312,34.98930102,33.71613383,Dimitri Nakassis,Kokkinokremos,<= ankle,80,Plowed,Compacted,Light,None,Cobble (300-75mm),63,0,0,0,0,63,0,0,2,34,1,0,0
Unit 1313,34.98960991,33.71579883,Dimitri Nakassis,Kokkinokremos,<= ankle,70,Plowed,Compacted,Light,None,Cobble (300-75mm),49,0,0,0,0,47,2,0,5,32,1,0,0
Unit 1314,34.98980913,33.71548229,Dimitri Nakassis,Kokkinokremos,<= ankle,70,Plowed,Compacted,Moderate,None,Cobble (300-75mm),56,0,0,0,0,56,0,0,4,44,4,0,0
Unit 1315,34.9899766,33.71480839,Dimitri Nakassis,Kokkinokremos,<= ankle,70,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),47,0,0,0,0,47,0,0,5,37,0,0,0
Unit 1316,34.99027667,33.71457826,Dimitri Nakassis,Kokkinokremos,<= ankle,50,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),57,0,0,0,0,57,0,0,2,30,1,2,0
Unit 1317,34.99067624,33.71461542,Dimitri Nakassis,Kokkinokremos,<= ankle,50,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),40,0,0,0,0,40,0,0,1,24,0,1,0
Unit 1318,34.9903204,33.71413459,Brandon Olson,Kokkinokremos,<= ankle,80,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),69,0,0,0,1,65,3,0,3,41,0,3,0
Unit 1319,34.99066694,33.71415862,Dimitri Nakassis,Kokkinokremos,<= knee,70,Plowed,Compacted,Moderate,None,Cobble (300-75mm),52,0,0,0,0,52,0,0,3,39,0,2,0
Unit 1320,34.99032538,33.71359429,Brandon Olson,Kokkinokremos,<= ankle,70,Plowed,Compacted,Light,None,Coarse Gravel (75-19mm),81,0,0,0,0,79,2,0,4,61,0,5,5
Unit 1321,34.99068242,33.71360847,Dimitri Nakassis,Kokkinokremos,<= knee,80,Plowed,Compacted,Moderate,Light,Cobble (300-75mm),50,0,0,0,0,50,0,0,6,29,2,0,0
Unit 1322,34.99032889,33.71309825,Brandon Olson,Kokkinokremos,<= ankle,70,Plowed,Compacted,Moderate,None,Cobble (300-75mm),61,0,0,0,0,55,6,0,0,38,1,0,5
Unit 1323,34.99070461,33.71313003,Dimitri Nakassis,Kokkinokremos,<= ankle,60,Plowed,Compacted,Moderate,None,Cobble (300-75mm),30,0,0,0,0,30,0,0,8,11,3,0,0
Unit 1324,34.99100952,33.71416197,Dimitri Nakassis,Kokkinokremos,<= ankle,60,Plowed,Compacted,Moderate,None,Cobble (300-75mm),33,0,0,0,0,32,1,0,0,16,1,0,0
Unit 1325,34.99102874,33.71364686,Brandon Olson,Kokkinokremos,<= knee,60,Plowed,Compacted,Moderate,None,Cobble (300-75mm),71,0,0,0,0,69,2,0,13,45,1,0,0
Unit 1326,34.99107905,33.71318304,Brandon Olson,Kokkinokremos,<= ankle,60,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),32,0,0,0,0,30,2,0,4,23,1,0,0
Unit 1327,34.99131617,33.71363578,Dimitri Nakassis,Kokkinokremos,<= knee,60,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),14,0,0,0,0,14,0,0,0,10,1,0,0
Unit 1328,34.9900298,33.71392718,Dimitri Nakassis,Kokkinokremos,<= ankle,70,Plowed,Compacted,Moderate,None,Cobble (300-75mm),64,0,0,0,0,62,2,0,5,41,1,1,0
Unit 1329,34.98988371,33.71339537,Brandon Olson,Kokkinokremos,<= ankle,70,Plowed,Compacted,Moderate,None,Cobble (300-75mm),39,0,0,0,0,38,1,0,0,31,1,0,0
Unit 1330,34.98942632,33.71346036,Brandon Olson,Kokkinokremos,<= ankle,70,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),62,0,0,0,0,61,1,0,1,53,3,1,0
Unit 1331,34.98991043,33.71309238,Dimitri Nakassis,Kokkinokremos,<= knee,70,Plowed,Compacted,Moderate,None,Cobble (300-75mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 1332,34.98951401,33.71315792,Dimitri Nakassis,Kokkinokremos,<= ankle,70,Plowed,Compacted,Moderate,None,Cobble (300-75mm),25,0,0,0,0,25,0,0,0,21,4,0,0
Unit 1333,34.98899789,33.71353398,Brandon Olson,Kokkinokremos,<= ankle,80,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),73,0,0,0,0,72,1,0,7,37,9,0,0
Unit 1334,34.99091012,33.71479708,David K. Pettegrew,Kokkinokremos,<= knee,70,Unplowed,Compacted,Moderate,Light,Coarse Gravel (75-19mm),28,0,0,0,0,28,0,0,1,17,2,0,0
Unit 1335,34.99131558,33.71424272,David K. Pettegrew,Kokkinokremos,<= knee,50,Unplowed,Compacted,Moderate,Light,Coarse Gravel (75-19mm),10,0,0,0,0,10,0,0,1,9,0,0,0
Unit 1336,34.99165733,33.7135271,David K. Pettegrew,Kokkinokremos,<= knee,60,Unplowed,Compacted,Moderate,Light,Coarse Gravel (75-19mm),38,0,0,0,0,37,1,0,7,23,0,0,0
Unit 1337,34.99167441,33.71255677,David K. Pettegrew,Kokkinokremos,<= knee,30,Unplowed,Compacted,Moderate,Light,Coarse Gravel (75-19mm),17,0,0,0,0,17,0,0,0,16,0,0,0
Unit 1338,34.99153741,33.71161511,David K. Pettegrew,Kokkinokremos,<= knee,40,Unplowed,Compacted,Moderate,Light,Coarse Gravel (75-19mm),33,0,0,0,0,33,0,0,3,26,1,1,0
Unit 1339,34.99099407,33.71191705,Dimitri Nakassis,Kokkinokremos,<= knee,50,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),43,0,0,0,0,42,1,0,3,34,0,1,0
Unit 1340,34.99050712,33.71230158,Dimitri Nakassis,Kokkinokremos,<= ankle,70,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),40,0,0,0,0,40,0,0,10,29,1,0,0
Unit 1341,34.99002245,33.71244932,Dimitri Nakassis,Kokkinokremos,<= ankle,80,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),48,0,0,0,0,47,0,0,0,39,0,0,0
Unit 1342,34.98933502,33.71257932,Dimitri Nakassis,Kokkinokremos,<= ankle,80,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),54,0,0,0,0,52,1,0,5,39,2,0,0
Unit 1343,34.98887034,33.71300531,Dimitri Nakassis,Kokkinokremos,<= knee,80,Unplowed,Compacted,Heavy,None,Cobble (300-75mm),22,0,0,0,0,21,1,0,0,16,0,0,0
Unit 1344,34.98909662,33.71394852,Dimitri Nakassis,Kokkinokremos,<= knee,70,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),71,0,0,0,1,69,1,0,11,45,0,0,0
Unit 1345,34.98956749,33.71372209,Dimitri Nakassis,Kokkinokremos,<= knee,70,Unplowed,Compacted,Moderate,None,Cobble (300-75mm),68,0,0,0,0,67,0,0,1,54,6,2,0
Unit 1346,34.98930128,33.71298825,Brandon Olson,Kokkinokremos,<= ankle,70,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),50,0,0,0,0,47,3,0,3,27,5,0,0
Unit 1347,34.99004921,33.71274978,Dimitri Nakassis,Kokkinokremos,<= ankle,70,Plowed,Compacted,,None,Coarse Gravel (75-19mm),37,0,0,0,0,37,0,0,1,34,0,0,0
